1.000000000000000000e+00;4.016931189690106763e+00;1.960184865456997549e+00;8.215051164516051774e-01;9.807780208996908868e+02;6.804312200709802805e-02;5.490182557980079897e-02;5.969148762773023691e+02;-9.014759239311719297e-01;-7.673396371447745688e-04;-9.158192739083268006e-04;-7.685401233484721265e-04;1.170088933594501520e-06;1.723083181005627839e-06
1.000000000000000000e+00;4.073175782553465574e+00;1.961455076846623680e+00;8.117352382833870061e-01;1.082740621811190977e+03;6.601293842054219152e-02;5.333383871137720861e-02;6.553660409986007380e+02;-8.742618718404953082e-01;-7.452776761233421282e-04;-8.878721026376984156e-04;-7.447024962036436846e-04;5.833524438146355917e-07;-7.623403469352071649e-08
1.000000000000000000e+00;4.126648959659760862e+00;1.962701451031288569e+00;8.021291311452795059e-01;1.189935818332954796e+03;6.401504492236716193e-02;5.174775285640885458e-02;7.190980028780035127e+02;-8.486402719061350020e-01;-7.210430824095609339e-04;-8.624500117804284778e-04;-7.214935734631943830e-04;9.229156843196774563e-07;9.237030677672104162e-07
1.000000000000000000e+00;4.177240187340245825e+00;1.963926107896301954e+00;7.926828210098706418e-01;1.314280326886020248e+03;6.259983724465960353e-02;5.065241338399206067e-02;7.864407220946313828e+02;-8.235247476926854659e-01;-7.043904085574762041e-04;-8.362741936422719456e-04;-7.043632496947043169e-04;1.250783934227761559e-06;4.300496491457916948e-07
1.000000000000000000e+00;4.224989498008574706e+00;1.965128191341450892e+00;7.833924409480073070e-01;1.433477339367769900e+03;6.065105612087612341e-02;4.913850187398290797e-02;8.641578957577338542e+02;-8.052903287492810813e-01;-6.861940477038906390e-04;-8.179886201824069104e-04;-6.865020423736094713e-04;5.474183943592313964e-07;7.435732027075908386e-07
1.000000000000000000e+00;4.270023379965773636e+00;1.966316691497262292e+00;7.742542454372419725e-01;1.569840664674447453e+03;5.921396839637486226e-02;4.800682050838820519e-02;9.390908348770194607e+02;-7.811126213927179762e-01;-6.681564560458845862e-04;-7.929270414028250901e-04;-6.679762822754509817e-04;4.825767896608479284e-07;2.389844613138944978e-07
1.000000000000000000e+00;4.312513492890812650e+00;1.967481853495058886e+00;7.652645439051408705e-01;1.707543287206438436e+03;5.758067228341555432e-02;4.675396344365146534e-02;1.024921750250212881e+03;-7.626137142383081491e-01;-6.515603450090471857e-04;-7.742620613826985739e-04;-6.521303055320068183e-04;6.167350366591282119e-07;9.705945543339963278e-07
1.000000000000000000e+00;4.352651120739213120e+00;1.968631816786728939e+00;7.564198164850927109e-01;1.849380593208539494e+03;5.593577054380489966e-02;4.546790959019678807e-02;1.111452894727495504e+03;-7.421476691807536996e-01;-6.330025923264803126e-04;-7.542256108106772886e-04;-6.336113777360118104e-04;9.633573047498993177e-07;9.913239893214634326e-07
1.000000000000000000e+00;4.390630764114312079e+00;1.969762676749575503e+00;7.477165983368826430e-01;2.004439925982933346e+03;5.452724850528400946e-02;4.438958418533052452e-02;1.200162958287883384e+03;-7.214711968323691549e-01;-6.169346847022220840e-04;-7.330508248214538235e-04;-6.162161929324632423e-04;8.208150757062623074e-07;-3.517781866317314408e-07
1.000000000000000000e+00;4.426640907933581559e+00;1.970872206455084097e+00;7.391515483264120556e-01;2.164895516595581284e+03;5.312688645354896044e-02;4.330176769085165162e-02;1.297110063029761477e+03;-7.037978304511673944e-01;-6.006962352492563372e-04;-7.155634191706157585e-04;-6.009892100212828239e-04;5.035090143558163167e-07;6.439164461491930318e-07
